,type_of_intervention,data_start,date_end,locality,state,country,citation,entered_by,further_notes_comments,Unnamed: 9
717,TR,10-Mar-20,,bergen_county,NJ,USA,https://www.co.bergen.nj.us/public-notices,Dmitry,There is an immediate ban on all County business related international travel or domestic travel to any states that have reported COVID-19 cases. Similar travel restrictions are strongly recommended to all county businesses.,
718,CPV,13-Mar-20,,bergen_county,NJ,USA,https://www.co.bergen.nj.us/public-notices,Dmitry,"places of public gathering are to cease operations due to the inability to provide appropriate ""social distancing"" in accordance with CDC guidelines Movie theaters and performance halls in Bergen County will close immediately, the county executive said March 13. The Bergen County Zoo will shut down until further notice. County employees over 60 will no longer be required to go to work.",
719,GS_250,13-Mar-20,,bergen_county,NJ,USA,https://www.co.bergen.nj.us/public-notices,Dmitry,"All places of public gathering shall otherwise limit attendance at any event or gathering in order to comply with CDC guidelines related to ""socia distancing,"" and the directive issued by the Governor of the State of New Jersey related to gatherings of over 250 persons.",
720,GS_50,16-Mar-20,,bergen_county,NJ,USA,https://nj.gov/infobank/eo/056murphy/pdf/EO-104.pdf,Dmitry,All gatherings of persons in the State of New Jersey shall be limited to 50 persons or fewer,
721,LD_?,1-Mar-20,,bergen_county,NJ,USA,https://www.northjersey.com/story/news/new-jersey/2020/03/16/nj-curfew-coronavirus-prompts-statewide-curfew-gov-murphy/5057576002/,Dmitry,New Jerseyans should not leave their homes from 8 p.m. to 5 a.m.,
722,SOE,9-Mar-20,,bergen_county,NJ,USA,https://www.co.bergen.nj.us/public-notices,Dmitry,"on March 9, 2020, the Governor of the State of New Jersey has declared the concurrent invocation of both a State of Emergency",
723,NESC,13-Mar-20,,bergen_county,NJ,USA,https://www.co.bergen.nj.us/public-notices,Dmitry,,
724,HE,10-Mar-20,,bergen_county,NJ,USA,https://www.co.bergen.nj.us/public-notices,Dmitry,"All County employees shall follow all local, County, State and Federal health recommendations, in addition to Centers for Disease Control recommendations including but not limited to Handwashing, Sanitizing and Basic Infection Control Procedures.",
214,TR_China,2/3/2020,,bergen_county,NJ,USA,http://www.publichealth.lacounty.gov/phcommon/public/media/mediapubhpdetail.cfm?prid=2235,Carina,Nation-wide restriction of foreigners who have traveled to China in the past 14 days,
633,SDO,3/11/2020,,"bexar_county,_san_antonio",Texas,USA,https://www.sanantonio.gov/Health/News/NewsReleases/ArtMID/9362/ArticleID/18585/City-of-San-Antonio-COVID-19-update,Greg,accidental early release of 1 quaranteen person,
636,GS_50,3/16/2020,,"bexar_county,_san_antonio",Texas,USA,https://www.sanantonio.gov/Health/News/NewsReleases/ArtMID/9362/ArticleID/18611/Mayor-Ron-Nirenberg-issues-new-public-health-emergency-declaration-prohibiting-mass-gatherings-of-50-people-or-more,Greg,Prohibitted gatherings >50,
637,GS_10,3/16/2020,,"bexar_county,_san_antonio",Texas,USA,https://www.sanantonio.gov/Health/News/NewsReleases/ArtMID/9362/ArticleID/18611/Mayor-Ron-Nirenberg-issues-new-public-health-emergency-declaration-prohibiting-mass-gatherings-of-50-people-or-more,Greg,avoid gatherings >10 strongly recommended,
638,Testing,3/18/2020,,"bexar_county,_san_antonio",Texas,USA,https://www.sanantonio.gov/Health/News/NewsReleases/ArtMID/9362/ArticleID/18618/Pre-Approved-Testing-Site-for-COVID-19-now-open,Greg,large scale testing site opened capable of 16 tests per hour,
639,SD,3/18/2020,,"bexar_county,_san_antonio",Texas,USA,https://www.sanantonio.gov/Health/News/NewsReleases/ArtMID/9362/ArticleID/18620/Mayor-Ron-Nirenberg-announces-new-social-distancing-measures,Greg,Social distancing ananouced by mayro,
